Title,Course,Description,Source,Prep Time,Cook Time,Total Time,Servings,Yield,Ingredients,Directions,Tags,Rating,Photo Url,Calories,Fat,Cholesterol,Sodium,Sugar,Carbohydrate,Fiber,Protein,Cost,Created At,Updated At
STOOFVLEES MET GEMBER & STERANIJS,,"Als er geen stoofvleesgerecht in dit boek zou staan, is het geen boek van mij. Stoofvlees - een van de lekkerste dingen die u met vlees kunt maken - kost alleen wat tijd, maar verder niks. Het zorgt zelf voor een smakelijke saus. Daar hoeft u niets voor te doen. U zorgt voor de ingrediënten en de tijd regelt de rest. Met wat over is eet ik nog dagen soep. Ooit werkte ik een paar jaar bij een Chinees restaurant. De voor de noedelsoepen (en ons personeelseten) noemden ze daar bouillon 'duizendjarige soep'. Elke dag ging wat over was erin. Water erbij en dan stond de soep weer verder te trekken. Elke dag was de soep dus een beetje anders.
Daar denk ik nog altijd aan als ik weer een restje broccoli, spinazie of rijst en een extra scheut water, kokosmelk of bouillon door de overgebleven saus van deze stonf rar Duizandiarine stonf
Als er geen stoofvleesgerecht in dit boek zou staan, is het geen boek van mij. Stoofvlees - een van de lekkerste dingen die u met vlees kunt maken - kost alleen wat tijd, maar verder niks. Het zorgt zelf voor een smakelijke saus. Daar hoeft u niets voor te doen. U zorgt voor de ingrediënten en de tijd regelt de rest. Met wat over is eet ik nog dagen soep. Ooit werkte ik een paar jaar bij een Chinees restaurant. De bouillon voor de noedelsoepen (en ons personeelseten) noemden ze daar 'duizendjarige soep'. Elke dag ging wat over was erin. Water erbij en dan stond de soep weer verder te trekken. Elke dag was de soep dus een beetje anders.
Daar denk ik nog altijd aan als ik weer een restje broccoli, spinazie of rijst en een extra scheut water, kokosmelk of bouillon door de overgebleven saus van deze stoof roer. Duizendjarige stoof.

Notes:
ote bi rond p een
te braa rondom peen b",Home Made Basics,,,,,4-6,"BEREIDEN: 25 MIN.
STOVEN: 2 UUR EN 30 MIN.
HOOFDGERECHT VOOR 4-6
3 eetl. zonnebloemolie
1 kilo runderriblappen, in
stukken gesneden
2 uien, in ringen
1 duimlengte verse gember,
fijngeraspt
3 tenen knoflook, fijngeraspt
bosje (15 gram) koriander,
stelen en blaadjes apart
1-1½ liter vleesbouillon
2 theel. Chinees vijfkruiden-
poeder
6 hele steranijs
zeezout en versgemalen
zwarte peper
1 blikje (70 gram) tomaten-
puree
50 ml zoute sojasaus
50 ml zoete sojasaus (Niet vervangen door zoute!)","Verhit de zonnebloemolie in een grote braadpan. Voeg de stukjes runderriblap in delen toe en bak ze rondom bruin. Schep de stukken vlees uit de pan en houd ze warm op een bord onder een deksel.
Hak intussen de uien, gember, knoflook en de stelen van het bosje koriander in een keukenmachine of met de hand tot een grove pasta.
Bak de uienpasta in het braadvet in de pan. Voeg, als de pasta te droog is, een scheutje vleesbouillon toe. Voeg het vijfkruidenpoeder, de steranijs, het zout en de peper toe en bak de specerijen' al omscheppend mee. Roer de tomatenpuree erdoor, bak de saus nog even en schenk de zoute en de zoete sojasaus erbij.
Voeg het vlees toe aan de kruidensaus en schenk er zoveel bouillon bij dat het vlees net onderstaat. Breng de bouillon aan de kook, doe het deksel op de pan, draai het vuur tot op z'n laagst en laat het vlees in 2 tot 2½ uur helemaal gaar en zacht worden.
Kijk tijdens het stoven af en toe in de pan. Schenk een scheutje bouillon of water bij het vlees, mocht het te droog worden. Serveer het stoofvlees bestrooid met de korianderblaadjes.
Lekker met zilvervlies- of witte rijst. Of met frieten, zie bladzijde 23",Stoofvlees,,https://raw.githubusercontent.com/rendyhd/melamigration/main/images/280C60DD-CC92-47A6-AB90-6A590EA82AF0.jpg,,,,,,,,,,29/11/2025 14:21,29/11/2025 14:21
GEBRADEN CITROENKIP IN KOKOSMELK,,,Home Made Basics,,,,4,4,"1 hele kip
zeezout en versgemalen
zwarte peper
1 eetl. paprikapoeder
75 gram boter
2 eetl. sesamolie
2 biologische citroenen
2 blikken (à 400 ml)
kokosmelk
500 gram krieltjes, grote
gehalveerd
handvol korianderblaadjes,
houd wat apart voor de
garnering
8 tenen knoflook, gepeld en
grof gehakt
fijngeraspte schil van 2 bio-
logische citroenen (gebruik
hiervoor de citroenen die in
de kip gaan)
2-3 stengels citroengras
(sereh), fijngehakt
5 cm verse gember,
fijngeraspt
2-3 kaneelstokjes","Verwarm de oven voor tot 180°C.
Kruid de kip met zout, peper en paprikapoeder.
Verhit de boter en sesamolie in een zware braadpan die in de oven kan en braad de kip rondom aan, zodat hij aan alle kanten goudbruin is. Halveer de citroenen, waarvan de schil al fijngeraspt is, en duw ze in de holte van de kip.
Schenk de kokosmelk bij de kip in de pan en voeg alle andere ingrediënten toe. Spoel de blikjes om met een plensje water en giet dit kokoswater er ook bij. Zet de pan zonder deksel in de oven.
Bedruip de kip iedere 20 minuten met de kokossaus uit de pan. Schep de krieltjes af en toe om. Braad de kip ongeveer 1 uur, tot hij mooi gaar en goudbruin is.
Laat de kip 10 minuten rusten voordat u hem aansnijdt. Zeef intussen de saus, schep de krielaardappels eruit en houd ze warm in een schaal met een deksel.
Leg de kip terug in de pan en serveer hem met de aardappeltjes eromheen en begoten met de gezeefde saus. Bestrooi alles met koriander.
Geef er groene groenten bij, zoals gestoomde broccoli of bimi, en veel spinazie. Of weet u er wat er ook heel lekker bij is: de gesmoorde andijvie van bladzijde 225. Of de radijzen van bladzijde 218.",Vlees,,https://raw.githubusercontent.com/rendyhd/melamigration/main/images/CFF6621E-FF2B-4285-AB48-D4DA6493908E.jpg,,,,,,,,,,29/11/2025 14:23,29/11/2025 14:23
GESMOORDE ANDIJVIE MET MISO,,,,,,,,,"BEREIDEN: 20 MIN.
BIJGERECHT VOOR 4
3 eetl. olijfolie
1 sjalot, gesnipperd
2 tenen knoflook, in schijfjes
1 rode peper, eventueel
zaadlijsten verwijderd en
fjngehakt
2 eetl. rode miso*
krop andijvie, in de lengte
doormidden, goed gewas-
sen
*zie ook bladzijde 12","Met een spitskooltje zou u dit ook kunnen doen, dat moet alleen iets langer braden, reken 16-20 minuten. Voor little gem 5 minuten. 
Verhit de olijfolie in een grote hapjespan en bak de sjalot, kno miso en rode peper.
Voeg de helft van de andijvie met aanhangend water toe, leg h met de snijkant naar beneden in de pan. Doe het deksel op de draai het vuur iets lager en smoor de halve krop 8 tot 10 minu Schud de pan af en toe heen en weer.
Test de groente op gaarheid, als u met een scherp mesje moeit door het stevigste deel van de krop kunt steken is-ie gaar. Smo andijvie zo nodig nog een paar minuten langer. Haal de halve andijvie met een tang uit de pan en houd hem warm onder een dek diep bord.
Bak op dezelfde manier de tweede helft in het achtergebleven miso-pepermengsel.
",,,https://raw.githubusercontent.com/rendyhd/melamigration/main/images/E0895C3E-F056-4C5E-AE6C-FAF50FD25B11.jpg,,,,,,,,,,29/11/2025 14:31,29/11/2025 14:31
"Salade met Aardbei, Manchego & Avocado",,,PLHEZ,,,,,,"Ingrediënten:
1 zak gemixte sla
1-2 eetlepels balsamico azijn
1 eetlepel olijfolie
250 g aardbeien
1 avocado
30 g pijnboompitten (ook lekker: pistachenoten)
150 g manchego
optioneel: balsamico crème","Doe de sla in een grote schaal en voeg de balsamico en olijfolie toe. Schep goed door elkaar heen.
Rooster de pijnboompitten goudbruin.
Was de aardbeien goed en ontkroon ze. Snijd door de helft (of bij heel grote aardbeien: in kwartjes).
Snijd de avocado in mooie plakjes.
Snijd de manchego in plakjes (in driehoeken).
Verdeel de pinboompitten, aardbeien, avocado en manchego over de sla. Top eventueel af met wat balsamico crème.",Salade,,https://raw.githubusercontent.com/rendyhd/melamigration/main/images/DA74129A-F767-46D6-B0F2-BA6577E0D3EC.jpg,,,,,,,,,,24/03/2024 19:55,24/03/2024 19:55
Vegan zuurdesem oliebollen,,Oliebollen gemaakt van zuurdesem beslag en plantaardige ingrediënten.,https://dennisenderink.nl/heerlijke-vegan-zuurdesem-oliebollen/#webpage,60,40,460,,20 oliebollen,"500 gram (patent)bloem
250 gram plantaardige melk
250 gram bier (of bruiswater)
150 gram actieve (volkoren) zuurdesem
10 gram zout
30 gram plantaardige boter (zacht, bijna gesmolten)
# Vulling
200 gram rozijnen
75 gram krenten
200 gram appels (idealiter Jonagold)
# Bakken
4 liter neutrale plantaardige olie (bv. zonnebloemolie of arachideolie)","# Avond van te voren
Voed je desem zodat er voldoende is voor de rest van het recept.
Wel de rozijnen en krenten voor 10 á 15 minuten.
Laat de gewelde rozijnen en krenten de hele nacht in een vergiet uitlekken.
# Op de dag zelf
Mix de bloem, melk, en de helft van het bier en desem voor een minuut of 5.
Wanneer je merkt dat het deeg sterker (lees: moeilijker te mixen) wordt voeg je de boter en zout toe en meng dit in een minuut of twee door het deeg.
Ten slotte voeg je beetje bij beetje de rest van het bier toe en mixt dit tot een beslag.
Wanneer je een glad beslag hebt kan de vulling worden toegevoegd, mix dit niet maar spatel het voorzichtig door het beslag heen.
Laat het beslag nu afgedekt met een vochtige doek, deksel of huishoudfolie voor 6 uur op een warme plek rijzen.
# Voorbereiding bakken
Giet een half uur voor je start met bakken de olie in de pan en laat deze langzaam warm worden, controleer af en toe de temperatuur, de olie moet rond de 175-180 graden zijn voor het bakken.
Als de olie op temperatuur is en het beslag ongeveer in volume verdubbeld kunnen we starten met bakken!
# Oliebollen bakken
Het is erg belangrijk om het beslag een keer ""door te slaan"", dit doe je door met een lepel of spatel een paar keer het deeg om te slaan zodat de lucht er uit is. Doe je dit niet dan zuigen de oliebollen zich vol met olie tijdens het bakken.
Doop de ijsschep (of twee lepels) in de hete olie.
Schep een mooie bol uit het beslag en laat het voorzichtig in de olie glijden.
De oliebollen zullen vanzelf draaien wanneer de onderkant gaar is, soms kunnen ze echter een beetje hulp gebruiken.
Wanneer de oliebol egaal bruin is (na circa 8 minuten) haal je ze met een schuimspaan uit de olie, laat even kort uitlekken boven de pan en leg ze daarna op een met keukenrol bedekt bord.
Wanneer ze voldoende zijn afgekoeld is het tijd om aan te vallen, eet smakelijk!",,,https://raw.githubusercontent.com/rendyhd/melamigration/main/images/dennisenderink.nl_heerlijke-vegan-zuurdesem-oliebollen__webpage.jpg,,,,,,,,,,21/12/2025 11:47,21/12/2025 11:47
"Go-to pasta met garnalen, venkelzaad en chili-olie",,,Piens Dinner Table,,,,4,4,"400 gram pasta naar keuze
extra vergine olijfolie
4 tenen knoflook, fijngesneden
1½ eetl. venkelzaad, licht
gekneusd
180 gram tomatenpuree
300 gram garnalen,
rauw en gepeld
zout en versgemalen zwarte peper
15 gram bladpeterselie,
grof gehakt
chili-olie (zie blz. 198),
naar smaak","Kook de pasta volgens de aanwijzingen op de verpakking beetgaar in ruim gezouten water. Bewaar bij het afgieten een kopje van het pastawater.
Verhit een flinke scheut olijfolie in een grote koekenpan op middelhoog vuur. Fruit de knoflook samen met het venkelzaad aan. Voeg de tomatenpuree toe en bak mee tot deze verkleurt en de zurigheid afneemt. Doe de garnalen erbij en bak 2 tot 3 minuten mee, tot ze net gaar zijn en lichtroze kleuren.
Schep de pasta bij de saus in de pan en voeg al roerend beetje bij beetje wat pastawater toe tot een gladde, dikke saus ontstaat. Breng op smaak met zout en peper.
Verdeel de pasta over vier borden en maak af met de peterselie en chili-olie naar smaak.",Pasta,,https://raw.githubusercontent.com/rendyhd/melamigration/main/images/517BD1F6-9F7D-4C70-8E75-2DE7F6096A4B.jpg,,,,,,,,,,28/12/2025 12:46,28/12/2025 12:46
Spring Fling Mac and Cheese,,,Piens dinner table,,,,,4-6,"extra vergine olijfolie, om in te
bakken
2 tenen knoflook, fijngehakt
1 theel. chilivlokken
1 prei, in halve ringen
200 gram spinazie
15 gram basilicum
500 gram pasta (bijvoorbeeld
macaroni, elleboogjes of
schelpjes)
30 gram boter
30 gram bloem
400 ml volle melk
200 ml slagroom
50 gram geraspte Parmezaanse
kaas, plus 25 gram extra voor
bovenop
100 gram geraspte cheddar,
plus 50 gram extra voor
bovenop
zout en versgemalen zwarte peper
snuf versgeraspte nootmuskaat","Verhit een scheut olijfolie in een grote pan. Bak de knoflook en de chilivlokken kort aan, voeg de prei toe en bak in 3 tot 4 minuten zacht. Schep de spinazie erdoor en laat slinken. Doe het groentemengsel samen met de basilicum in een blender en mix tot een gladde groene saus.
Kook de pasta in een pan ruim gezouten water volgens de aanwijzingen op de verpakking gaar. Giet af en zet apart.
Smelt de boter in een grote pan op middelhoog vuur. Voeg de bloem toe en roer met een garde tot een roux. Giet beetje bij beetje de melk erbij, goed roerend zodat er geen klontjes ontstaan. Schenk al roerend de slagroom erbij en laat de saus enkele minuten indikken. Roer de Parmezaanse kaas en cheddar door de saus tot ze gesmolten zijn.
Breng de saus op smaak met zout, peper en nootmuskaat.
Voeg de groene saus toe aan de kaassaus en meng goed. Roer de gekookte pasta erdoorheen tot alles goed gemengd IS. Schep het geheel in een ovenschaal en bestrooi met de extra parmezaan en cheddar. Zet 15 tot 20 minuten in de oven, tot de bovenkant van de mac and cheese goudbruin is.",Pasta,,https://raw.githubusercontent.com/rendyhd/melamigration/main/images/9F1C4D1A-6F6E-48B9-96B1-5947C1DB534C.jpg,,,,,,,,,,28/12/2025 12:48,28/12/2025 12:48
Venkel-ansjovispasta met Calabrisch broodkruim,,,Piens Dinner Table,,,,4,4,"VOOR 4 PERSONEN
extra vergine olijfolie, om in te bakken
1 sjalot, gesnipperd
2 tenen knoflook, fijngesneden
5 ansjovisfilets in olie
2 venkelknollen, in dunne plakjes,
venkelgroen eventueel bewaard
ter garnering
75 ml droge witte wijn
150 ml kook- of slagroom
400 gram pasta, bijvoorbeeld linguine,
tagliatelle of rigatoni
10 gram bladpeterselie, fijngesneden
rasp en sap van ½ biologische citroen
40 gram Parmezaanse kaas, geraspt
zout en versgemalen zwarte peper
paar takjes dille, grof gehakt
(optioneel)
VOOR HET CALABRISCH
BROODKRUIM
2 eetl. extra vergine olijfolie
35 gram panko (Japans broodkruim)
1 teen knoflook, geraspt
1 theel. fijngesneden Calabrische
chilipepers uit pot","Maak eerst het broodkruim: verhit de olijfolie in een koekenpan op middelhoog vuur. Voeg de panko, knoflook en Calabrische chilipeper toe. Bak al roerend in 5 tot 6 minuten goudbruin en krokant. Laat afkoelen op keukenpapier en zet apart.
Verhit een scheut olijfolie in een ruime koekenpan op middelhoog vuur. Voeg de sjalot toe en bak glazig. Doe de knoflook en ansjovis erbij en bak tot de ansjovis is opgelost. Roer de venkel erdoor en bak in 10 tot 15 minuten zacht en licht gekaramelliseerd. Schep regelmatig om. Blus af met de wijn en laat 2 tot 3 minuten inkoken. Voeg de room toe en laat zachtjes pruttelen tot de saus iets indikt.
Kook intussen de pasta in een pan ruim gezouten water volgens de aanwijzingen op de verpakking gaar. Giet af, maar bewaar een kopje van het kookwater.
Voeg de gekookte pasta toe aan de saus en meng goed door. Schenk indien nodig wat van het kookwater erbij om de saus losser te maken. Roer de peterselie, de rasp en het sap van de citroen en de Parmezaanse kaas door de pasta.
Proef en breng op smaak met peper en eventueel zout.
Serveer de pasta op borden, garneer met het Calabrisch broodkruim en strooi er dille of venkelgroen overheen.",Pasta,,https://raw.githubusercontent.com/rendyhd/melamigration/main/images/7F595787-BA80-4A00-9219-3E69D520FD26.jpg,,,,,,,,,,28/12/2025 12:49,28/12/2025 12:49
"Taco's met chipotlekip, geroosterde mais, feta en avocado jalapeñocrème",,,Piens Dinner Table,,,,8,8,"1 blikje chipotle in adobo
(100 gram), gebruik 3 eetl. van
de saus en 1 of 2 fijngesneden
pepertjes
1 eetl. honing
2 eetl. extra vergine olijfolie
1 theel. gerookte-paprikapoeder
sap van 1 limoen
2 tenen knoflook, geperst
zout en versgemalen zwarte peper
4 kippendijen
2 avocado's
2 eetl. Griekse yoghurt
1 eetl. ingelegde jalapeñoschijfjes
150 gram kool, bijvoorbeeld (een
mix van) spitskool, rodekool,
paarse kool, fijngesneden
1 eetl. mayonaise
1 eetl. wittewijnazijn
2 voorgekookte maiskolven
8 kleine (mais) tortilla's
2 Lente-uien, in ringen
50 gram feta, verkruimeld
1 limoen, in partjes","Meng de chipotlesaus en -pepertjes, honing, olijfolie, het paprikapoeder, de helft van het limoensap, de knoflook en een snuf zout en peper in een kom. Voeg de kip toe en zorg dat die aan alle kanten goed bedekt is met de marinade. Laat minstens 1 uur (maar liever 1 nacht) afgedekt met vershoudfolie marineren in de ijskast. Laat voordat je begint met koken de gemarineerde kip weer op kamertemperatuur komen.
Pureer de avocado's, yoghurt en jalapeño in de beker van een staafmixer tot een gladde crème. Breng op smaak met de rest van het limoensap en zout en peper.
Meng in een kom de fijngesneden kool met de mayonaise en wittewijnazijn en breng op smaak met peper.
Gril de maiskolven rondom goudbruin in een hete grillpan op hoog vuur. Laat iets afkoelen en snijd dan de mais van de kolven af.
Bak of gril de kip op middelhoog vuur mooi goudbruin en gaar. Laat even rusten en snijd dan in reepjes.
Verwarm de tortilla's in een droge koekenpan of grillpan ot ze warm en licht geroosterd zijn.
ouw de taco's als volgt op: verdeel een beetje van de vocado-jalapeñocrème over elke tortilla, verdeel hier de coolsalade en de kip over. Garneer met de mais, lente-uii en vat feta. Serveer met de partjes limoen en extra crème.",Taco,,https://raw.githubusercontent.com/rendyhd/melamigration/main/images/870AD36E-3792-4EEA-A7F1-79EB0DBE3090.jpg,,,,,,,,,,28/12/2025 12:52,28/12/2025 12:52
Easy everyday chili met zure room en ingelegde jalapeños,,,Piens Dinner Table,,,,4,4,"neutrale olle, om in te bakken
1 ui, gesnipperd
1 rode ui, in ringen
2 tenen knoflook, fijngesneden
1 theel. gemalen komijnzaad
1 theel. cayennepeper
450 gram rundergehakt
800 gram tomatenblokjes
1 eetl. tomatenpuree
2 blikken (à 400 gram) kidneybonen
2 blokjes pure chocolade, grof gehakt
1 blikje chipotle in adobo
(100 gram), gebruik 1 eetl. van de
saus en 2 fijngesneden pepertjes
zout en versgemalen zwarte peper
TER GARNERING, NAAR SMAAK
lente-ui
ingelegde jalapeño's
zure room
geraspte kaas
tortillachips","Verhit een scheutje olie in een braadpan op middelhoog vuur en bak de uien, knoflook en specerijen hierin aan. Voeg het gehakt toe en bak rul.
Roer de tomatenblokjes, tomatenpuree, kidneybonen, chocolade, chipotlesaus en -pepertjes en een snuf zout en peper erdoor. Laat zơ'n 45 minuten zachtjes pruttelen. Roer af en toe door.
Schep de chili in kommen en garneer met je favoriete toppings: voor mij kan dit gerecht écht niet zonder dungesneden lente-ui, ingelegde jalapeño's, zure room, geraspte kaas en tortillachips.",Chili,,https://raw.githubusercontent.com/rendyhd/melamigration/main/images/E6B86162-E197-4EAC-A284-0A4A8917BE70.jpg,,,,,,,,,,28/12/2025 12:54,28/12/2025 12:54
"Flatbread met kruidig gehakt, tomatensalsa en specerijenkoter",,"Een gerecht vol contrasten: deze flatbreads bestaan uit een knapperige bodem belegd met kruidig gehakt, een vurige tomatensalsa en als finishing touch een nootachtige, gebruinde boter die rijk is aan specerijen. Voor mij is dit een alles-in-één-gerecht dat laat zien hoe goed eenvoud en gelaagdheid samengaan.",Piens Dinner Table,,,,,,"extra vergine olijfolie
4 tenen knoflook, fijngesneden
1 theel. chilivlokken
1 eetl. tomatenpuree
250 gram tomatenpassata
½ theel. cayennepeper
1 theel. gerookte-paprikapoeder
½ theel. kristalsuiker
zout en versgemalen zwarte peper
1 rode ui, in dunne parten
sap van 1 citroen
500 gram rundergehakt
2 theel. gemalen komijnzaad
S gram bladpeterselie,
fijngesneden, plus extra ter
garnering
bloem, om te bestuiven
1 recept flatbreaddeeg
(zie blz. 186)
VOOR DE SPECERIJENBOTER
50 gram boter
½ theel. gerookte-paprikapoeder
¼ theel. gemalen kaneel
¼ theel. gemalen kardemom","Maak de tomatensalsa: verhit 1 eetlepel olijfolie in een steelpan. Bak de helft van de knoflook en de chilivlokken 1 minuut. Voeg de tomatenpuree toe en bak 2 minuten mee tot deze donkerder kleurt. Voeg de passata, cayennepeper, ½ theelepel paprikapoeder, de suiker en naar smaak zout en peper toe. Laat 10 tot 15 minuten inkoken tot een dikke, geurige saus. Laat afkoelen.
Roer in een kom de rode ui, het citroensap en een snuf zout door elkaar. Laat minstens 20 minuten staan tot de ui zacht en fris is.
Meng in een kom het gehakt met de rest van het paprikapoeder, het komijnzaad, de rest van de knoflook, de peterselie en zout en peper.
Verwarm de oven voor tot 220 °C. Bestuif je werkvlak met bloem en rol elke bol flatbreaddeeg uit tot een dunne, ronde lap. Leg op bakpapier en bedek met een dunne laag van het gehaktmengsel. Druk dit stevig in het deeg. Bak (eventueel in porties) de flatbreads 8 tot 10 minuten in de oven.
Smelt intussen de boter voor de specerijenboter in een steelpan op laag vuur. Laat zachtjes bruisen tot de boter goudbruin kleurt en nootachtig ruikt, zơ'n 3 tot 5 minuten. Haal van het vuur en roer de specerijen erdoor.
Serveer de warme flatbreads met de pittige tomatensalsa, de gebruinde specerijenboter en de ingelegde rode ui. Garneer met extra peterselie.",,,https://raw.githubusercontent.com/rendyhd/melamigration/main/images/8566108A-7A3F-4550-827F-15A9CF6FA8EF.jpg,,,,,,,,,,28/12/2025 12:59,28/12/2025 12:59
"Fuffy broodpudding met fruit, witte chocolade en amandelschaafsel",,"of gewoon voor op een zondag. Je maakt 'm van dagoud brood (het liefst brioche), eieren en melk, en verjaardagsbrunch een vrienden, vol tafel grote een voor perfect is broodpudding romige zachte, Deze je voegt vervolgens fruit en andere ingrediënten toe die je in huis hebt. Mijn favoriete combinatie is met frambozen en witte chocolade, maar pas het recept vooral aan naar jouw wensen.",Piens Dinner Table,,,,12,12,"2 eetl. boter
1 (dagoud) briochebrood
4 eieren
500 ml volle melk
4 eetl. kristalsuiker
1 eetl. vanille-extract
rasp van 1 (biologische)
sinaasappel
250 gram frambozen
250 gram bosbessen
100 gram witte chocolade,
grof gehakt
20 gram amandelschaafsel
poedersuiker, ter garnering","Verwarm de oven voor tot 190 °C. Vet een ovenschaal in met de boter.
Snijd of scheur de brioche in grove stukken.
Mix in een kom de eieren met de melk, suiker, het vanilleextract en de sinaasappelrasp.
Verdeel de helft van de brioche over de bodem van de ovenschaal en verdeel daarop de helft van het fruit en de helft van de witte chocolade. Bedek met de rest van het brood en maak af met de rest van het fruit en de witte chocolade. Schenk het eimengsel er gelijkmatig overheen en laat het geheel 10 minuten 'weken'. Bestrooi met het amandelschaafsel en bak ongeveer 30 minuten in de oven.
Laat de broodpudding iets afkoelen en bestrooi met de poedersuiker.",,,https://raw.githubusercontent.com/rendyhd/melamigration/main/images/2401253F-F653-41A7-9763-7DC1CF03FC83.jpg,,,,,,,,,,28/12/2025 13:00,28/12/2025 13:00
Venkel-preisoep met pancetta en geitenkaas,,"De combinatie van venkel, prei en aardappel maakt deze soep zacht en aards. De tijm geeft een beetje diepte en de geitenkaas en pancetta zorgen voor nét die extra laag. Je kunt de soep van tevoren maken, opwarmen en afmaken met wat mooie toppings. Ideaal dus als je een etentje geeft en niet te veel gedoe aan het begin van de avond wilt. Om deze soep vegetarisch te maken, kun je de pancetta vervangen door wat gerookte amandelen of gefrituurde kappertjes (ook erg lekker!) • Venkel-preiscep

Notes:
De combinatie van venkel, prei en aardappel maakt deze soep zacht en aards. De tijm geeft een beetje diepte en de geitenkaas en pancetta zorgen voor nét die extra laag. Je kunt de soep van tevoren maken, opwarmen en afmaken met wat mooie toppings. Ideaal dus als je een etentje geeft en niet te veel gedoe aan het begin van de avond wilt. Om deze soep vegetarisch te maken, kun je de pancetta vervangen door wat gerookte amandelen of gefrituurde kappertjes (ook erg lekker!).",Piens Dinner Table,,,,,,"extra vergine olijfolie
2 tenen knoflook, fijngesneden
2 uien, gesnipperd
2 venkelknollen, in grove stukken,
venkelgroen bewaard
ter garnering
2 preien, in grove stukken
15 gram tijm, blaadjes gerist
4 aardappels, geschild en
in grove stukken
800 ml groentebouillon
150-200 gram pancetta,
in dunne plakjes
200 ml slagroom
zout en versgemalen zwarte peper
150 gram geitenkaas, verkruimeld","Verhit een flinke scheut olijfolie in een ruime pan op middelhoog vuur en fruit de knoflook kort aan. Voeg de ui, venkel, prei en tijmblaadjes toe en bak 5 tot 7 minuten tot de groenten wat zachter worden.
Voeg de aardappels toe, schenk de bouillon erbij en breng aan de kook. Laat de soep minstens 30 minuten zachtjes koken met het deksel op de pan.
Bak intussen de pancetta in een droge koekenpan goudbruin en knapperig. Laat uitlekken op keukenpapier.
Pureer de soep glad met een staafmixer of in een blender.
Voeg de slagroom toe, verwarm door en breng op smaak met zout en peper.
Verdeel de soep over kommen. Garneer met geitenkaas, de krokante pancetta, het venkelgroen en nog een laatste draai peper.",Soep,,https://raw.githubusercontent.com/rendyhd/melamigration/main/images/EA590547-BB95-4A78-BBAD-0F780731907A.jpg,,,,,,,,,,28/12/2025 13:20,28/12/2025 13:20
Summer Rolls,,,PLHEZ,,,,,,"Ingrediënten voor 8 rolls:
8 vellen rijstpapier
1 grote wortel, julienne gesneden
1 komkommer, julienne gesneden
150 gram rode kool, fijngesneden
200 gram garnalen, gepeld en gekookt
2 avocado's, in plakjes
Bosje lente-ui, fijngesneden
Koriander
Sesamzaadjes
Voor de pindasaus:
4 eetlepels pindakaas
1 eetlepel sojasaus
1 eetlepel limoensap
1 stukje gember, geraspt
2 eetlepels warm water, of meer om gewenste dikte te krijgen","Prep al je ingredienten. Snijd de wortel en komkommer julienne, snijd de rode kool en lente-ui fijn. Snijd de avocado's in dunne plakjes. Haal de koriander van de steeltjes. Halveer de garnalen in de lengte. Zet alles weg in bakjes voor straks.
Maak de pindasaus: meng de pindakaas met de sojasaus, limoensap, gember en water met een garde tot een mooie saus. Voeg indien nodig wat extra water toe.
Pak een grote kom (of pan) en vul die met heet water. Haal het rijstvel kort door het water heen en leg op een platte ondergrond (bijv een snijplank). Leg eerst 2-3 plakjes avocado in het midden van het vel, gevolgd door de wortel, komkommer, rode kool en lente-ui. Druk goed aan en vouw het vel over de vulling, klap de zijkanten naar binnen en rol iets verder op. Leg nu wat koriander op het vel en rol weer iets verder. Leg net voor het einde van de rol wat van de garnalen neer, druk goed aan en rol helemaal op. Herhaal deze stappen voor de andere rolls.
Bestrooi met wat sesamzaad en serveer met de pindadip.",Salade,,https://raw.githubusercontent.com/rendyhd/melamigration/main/images/635C6549-D8AE-4061-87CA-C54ED9A5FCFB.jpg,,,,,,,,,,24/03/2024 19:56,24/03/2024 19:56
